geoid,timestep,deaths
17031800700,2,0
17031800800,2,0
17031800900,2,1
17031801000,2,1
17031801100,2,0
17031801200,2,0
17031801300,2,0
17031801400,2,0
17031801500,2,1
17031801601,2,0
17031801603,2,1
17031801605,2,0
17031801606,2,0
17031801607,2,0
17031801608,2,0
17031801701,2,0
17031801702,2,1
17031801800,2,0
17031801901,2,1
17031801902,2,0
17031802002,2,0
17031802003,2,1
17031802004,2,0
17031802100,2,0
17031802200,2,2
17031802300,2,1
17031802402,2,1
17031802403,2,0
17031802404,2,2
17031802503,2,0
17031802504,2,0
17031802505,2,2
17031802506,2,1
17031802605,2,0
17031802607,2,0
17031802608,2,2
17031802609,2,0
17031802610,2,0
17031802701,2,0
17031802702,2,1
17031802801,2,1
17031802802,2,1
17031802900,2,0
17031803005,2,0
17031803007,2,0
17031803008,2,0
17031803010,2,0
17031803012,2,0
