geoid,timestep,deaths_sp_lag,INTPTLAT,INTPTLON,timestep,svi_theme1,svi_theme2,svi_theme3,svi_theme4,svi_total_,prev_deaths_05back,prev_deaths_04back,prev_deaths_03back,prev_deaths_02back,prev_deaths_01back
17031061500,2,0.2222222222222222,41.9452818,-87.6615447,2,0.0228,0.0058,0.2655,0.2184,0.0067,0.0,0.0,0.0,0.0,1.0
17031061800,2,0.0,41.9464901,-87.6471147,2,0.23,0.0157,0.2299,0.9621,0.2535,0.0,0.0,0.0,0.0,0.0
17031061901,2,0.14285714285714285,41.9432305,-87.6434679,2,0.0723,0.0138,0.565,0.676,0.1298,0.0,0.0,0.0,0.0,0.0
17031061902,2,0.25,41.9466985,-87.6390645,2,0.1648,0.0986,0.3496,0.588,0.2175,0.0,0.0,0.0,0.0,0.0
17031062000,2,0.125,41.9425769,-87.6470786,2,0.0684,0.0106,0.2665,0.8109,0.1034,0.0,0.0,0.0,0.0,0.0
17031062100,2,0.0,41.9426914,-87.6517704,2,0.1818,0.0199,0.4266,0.5771,0.1307,0.0,0.0,0.0,0.0,0.0
17031062200,2,0.125,41.9425847,-87.656644,2,0.1041,0.0061,0.262,0.4926,0.045,0.0,0.0,0.0,0.0,0.0
17031062300,2,0.125,41.9416278,-87.6614432,2,0.0116,0.0145,0.1242,0.1834,0.0022,0.0,0.0,0.0,0.0,0.0
17031062400,2,0.125,41.9415556,-87.6662882,2,0.0135,0.0289,0.1114,0.7457,0.0601,0.0,0.0,0.0,0.0,0.0
17031062500,2,0.0,41.941488,-87.6711073,2,0.0225,0.0096,0.3136,0.2466,0.0122,0.0,0.0,0.0,0.0,0.0
17031062600,2,0.0,41.9359751,-87.6709843,2,0.0366,0.0485,0.61,0.2813,0.0848,0.0,0.0,0.0,0.0,0.0
17031062700,2,0.0,41.9360862,-87.6661103,2,0.1365,0.0543,0.1865,0.4775,0.1002,0.0,0.0,0.0,0.0,0.0
17031062800,2,0.1111111111111111,41.9361586,-87.6612648,2,0.0074,0.0103,0.2957,0.2553,0.0093,0.0,0.0,0.0,0.0,0.0
17031062900,2,0.2222222222222222,41.936237,-87.6564113,2,0.0475,0.0128,0.2376,0.2203,0.01,0.0,0.0,0.0,0.0,0.0
17031063000,2,0.3,41.9363102,-87.6515617,2,0.134,0.0125,0.1971,0.8494,0.1269,0.0,0.0,0.0,0.0,0.0
17031063100,2,0.25,41.9382319,-87.6467799,2,0.036,0.0051,0.2363,0.6641,0.0472,0.0,0.0,0.0,0.0,0.0
17031063200,2,0.2,41.9389231,-87.6346726,2,0.124,0.0588,0.3239,0.8748,0.2596,0.0,0.0,0.0,0.0,1.0
17031063301,2,0.25,41.9345407,-87.6430239,2,0.2155,0.1808,0.6077,0.5604,0.3328,0.0,0.0,0.0,0.0,0.0
17031063302,2,0.16666666666666666,41.9347647,-87.639854,2,0.0514,0.0234,0.1778,0.7656,0.0835,0.0,0.0,0.0,0.0,0.0
17031063303,2,0.25,41.9347312,-87.6346613,2,0.054,0.4708,0.1274,0.5032,0.1847,0.0,0.0,0.0,0.0,0.0
17031063400,2,0.375,41.9346596,-87.64673,2,0.0899,0.0029,0.1551,0.4371,0.0241,0.0,0.0,0.0,0.0,1.0
17031070101,2,0.1111111111111111,41.9295225,-87.6323247,2,0.0932,0.069,0.1634,0.7592,0.1584,0.0,0.0,0.0,0.0,0.0
17031070102,2,0.14285714285714285,41.9305828,-87.642202,2,0.08,0.0087,0.296,0.9798,0.2024,0.0,0.0,0.0,0.0,0.0
17031070103,2,0.0,41.926811,-87.6426051,2,0.2451,0.0109,0.3294,0.6089,0.1291,0.0,0.0,0.0,0.0,0.0
